         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   2414378786   50.0    -1.00    -1.00     1.00     2.00   0   0  55      42665      3.92217900
   3551539000   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      53007      3.67782200
   3207434497   50.0    -1.00    -1.00     1.00     2.00   0   0  47      26717      2.15722700
   3048797223   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34511      2.42494400
   1926198445   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38738      2.62550100
   2432650352   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36735      2.55349900
   3140075164   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31957      2.58675600
   1859600028   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40691     31.14344300
   2942619050   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36647      1.09777600
   3538688236   50.0    -1.00    -1.00     1.00     2.00   0   0  44      42357      1.37118600
   3792533485   50.0    -1.00    -1.00     1.00     2.00   0   0  44      28436      0.81217700
   3114027907   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33501      1.08472900
   3182387644   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33818      0.95426900
   3103433103   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33894      1.04538500
   2998639660   50.0    -1.00    -1.00     1.00     2.00   0   0  43      28100      0.90307900
   3197976783   50.0    -1.00    -1.00     1.00     2.00   0   0  41      22360      0.69388300
   3565126804   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33408      0.93783600
   3057568570   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34352      0.87447100
   3375505113   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29645      0.85610400
   3713012866   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35641      1.10990500
   3491920879   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      43450      1.32600500
   2475697923   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34241      0.91786500
   1729782812   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45525      1.37112000
   2965781475   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      25397      0.67513700
   2026130737   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      22860      0.69014400
   2351113504   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36766      1.05792600
   1748944943   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38387      1.06024700
   2230617262   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35504      0.98993800
   3416063351   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34114      1.04166300
   3454063837   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      23953      0.78408100
   2080536078   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33830      1.01823800
   2005960395   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27812      0.76681800
   2060281484   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45780      1.46063400
   3217811397   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28474      0.81249300
   3334109269   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37308      0.98555400
   3429444024   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34228      0.90816000
   2206750810   50.0    -1.00    -1.00     1.00     2.00   0   0  39      22444      0.99540400
   3395053188   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40368      1.17033100
   3268706941   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44258      1.28684100
   2001289099   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26660      0.71070300
   2596276679   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      25477      0.71633000
   2082855489   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35397      1.00395800
   3677131747   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36853      0.99899100
   2101740069   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44079      1.20229900
   2663702413   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32372      0.83845900
   2105724229   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31522      0.78060200
   2964795429   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32813      0.80522500
   3516283015   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34516      1.13675200
   2881474874   50.0    -1.00    -1.00     1.00     2.00   0   0  39      24255      0.78290400
   3155033145   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      50659      1.43399100
   1746010483   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42401      1.22987900
   3233934111   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      24793      0.71915400
   2861532128   50.0    -1.00    -1.00     1.00     2.00   0   0  39      23718      0.72743500
   3751304726   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29493      0.77577700
   1731466955   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30952      0.89734400
   3746148970   50.0    -1.00    -1.00     1.00     2.00   0   0  38      20884      0.61448700
   3337183591   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33418      0.94651100
   3226785269   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33828      0.99892900
   2633867485   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32758      0.95571900
   3807376739   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39748      1.32004100
   3203800894   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44013      1.13036100
   1983248343   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28252      0.75157800
   3683260423   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32246      0.92554200
   2857209763   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36798      0.95920300
   3120275311   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34866      1.03461400
   1794337599   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44649      1.25582600
   2313457702   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      24717      0.69637200
   3411228569   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33064      0.93088000
   2396528684   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35708      0.90810900
   2809666388   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34561      1.01985500
   2893891889   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26234      0.75645100
   2021868641   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38202      1.15187100
   3196835213   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29757      1.21813000
   1677317683   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28273      0.75815800
   2933695451   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29003      0.94641700
   1873771352   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38498      1.10597900
   3343862644   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36708      1.02672500
   3121349095   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38115      1.07135100
   2406617083   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31025      0.87600100
