Seed	Temp	SE_cost	RM_cost	R_cost	RR_cost	SE	RM	R	N_states	Time
2414378786	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	55.0	42665.0	3.922179
3207434497	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	47.0	26717.0	2.157227
3538688236	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	44.0	42357.0	1.371186
3792533485	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	44.0	28436.0	0.812177
2998639660	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	43.0	28100.0	0.903079
3197976783	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	41.0	22360.0	0.693883
2206750810	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	39.0	22444.0	0.995404
2881474874	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	39.0	24255.0	0.782904
2861532128	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	39.0	23718.0	0.727435
3746148970	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	38.0	20884.0	0.614487
1863247083	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	38.0	23811.0	0.682596
2452455901	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	37.0	19421.0	0.572027
3776681027	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	37.0	22156.0	0.737898
2192132848	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	37.0	23624.0	1.053599
1985529663	50.0	1.9	1.91	1.0	2.0	0.0	1.0	36.0	56150.0	1.678049
2619281949	50.0	1.8	1.81	1.0	2.0	0.0	3.0	35.0	72296.0	1.976663
3308668802	50.0	1.8	1.81	1.0	2.0	0.0	4.0	34.0	69004.0	2.043794
1910959783	50.0	1.8	1.81	1.0	2.0	0.0	3.0	32.0	53604.0	2.546769
2222258094	50.0	1.8	1.81	1.0	2.0	0.0	1.0	35.0	58349.0	1.77035
3605338616	50.0	1.8	1.81	1.0	2.0	0.0	1.0	32.0	52771.0	1.53796
3351303455	50.0	1.7	1.71	1.0	2.0	0.0	1.0	34.0	57109.0	1.66153
2032381825	50.0	1.3	1.31	1.0	2.0	0.0	4.0	31.0	58602.0	2.099876
2762173492	50.0	1.2	1.21	1.0	2.0	1.0	6.0	29.0	72333.0	2.620888
3297852716	50.0	1.1	1.11	1.0	2.0	3.0	14.0	27.0	76122.0	2.565941
2078080926	50.0	1.1	1.11	1.0	2.0	2.0	11.0	28.0	71786.0	2.127164
3533882749	50.0	1.1	1.11	1.0	2.0	3.0	9.0	28.0	57880.0	1.814732
2885305413	50.0	1.1	1.11	1.0	2.0	2.0	10.0	27.0	56606.0	2.567269
2434076646	50.0	1.1	1.11	1.0	2.0	3.0	7.0	28.0	48341.0	1.575274
3243555361	50.0	1.1	1.11	1.0	2.0	2.0	9.0	26.0	55866.0	1.653292
3560887560	50.0	1.1	1.11	1.0	2.0	1.0	9.0	28.0	56842.0	2.19938
2264856856	50.0	1.1	1.11	1.0	2.0	3.0	13.0	22.0	60325.0	1.695316
3524746916	50.0	1.0	1.01	1.0	2.0	14.0	32.0	20.0	117537.0	2.984137
3461401433	50.0	1.0	1.01	1.0	2.0	13.0	34.0	17.0	94442.0	2.726809
2097281800	50.0	1.0	1.01	1.0	2.0	10.0	14.0	18.0	51929.0	1.530511
2437061630	50.0	1.0	1.01	1.0	2.0	6.0	15.0	20.0	60850.0	1.774477
1684113538	50.0	1.0	1.01	1.0	2.0	3.0	16.0	18.0	49246.0	1.660492
2815854016	50.0	1.0	1.01	1.0	2.0	3.0	12.0	18.0	50553.0	1.642437
2324405424	50.0	1.0	1.01	1.0	2.0	7.0	11.0	16.0	50572.0	1.776404
1681587696	50.0	1.0	1.01	1.0	2.0	8.0	15.0	14.0	63334.0	2.047571
2009723223	50.0	0.9	0.91	1.0	2.0	29.0	40.0	9.0	87947.0	2.590688
2949479731	50.0	0.9	0.91	1.0	2.0	16.0	20.0	8.0	61455.0	1.91355
1710380069	50.0	0.9	0.91	1.0	2.0	27.0	19.0	7.0	68513.0	1.934893
2831709104	50.0	0.9	0.91	1.0	2.0	14.0	26.0	7.0	69710.0	1.970689
3213104758	50.0	0.9	0.91	1.0	2.0	31.0	41.0	4.0	77080.0	2.22386
2686554421	50.0	0.9	0.91	1.0	2.0	15.0	33.0	4.0	64010.0	1.827683
3308614512	50.0	0.9	0.91	1.0	2.0	11.0	24.0	9.0	63150.0	1.888285
2706958462	50.0	0.9	0.91	1.0	2.0	17.0	19.0	4.0	56929.0	2.043232
2381344951	50.0	0.9	0.91	1.0	2.0	10.0	16.0	8.0	54055.0	1.754523
3347329713	50.0	0.8	0.81	1.0	2.0	193.0	236.0	3.0	404798.0	10.794066
2721503898	50.0	0.8	0.81	1.0	2.0	27.0	34.0	2.0	78483.0	2.165284
2735104552	50.0	0.8	0.81	1.0	2.0	6.0	15.0	4.0	40738.0	1.430283
2163094984	50.0	0.8	0.81	1.0	2.0	11.0	21.0	3.0	53992.0	1.769494
2679390468	50.0	0.8	0.81	1.0	2.0	23.0	38.0	2.0	73476.0	1.922312
