         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   1813023893   50.0    -1.00    -1.00     1.00     2.00   0   0   6        189      0.21645400
   2898707672   50.0    -1.00    -1.00     1.00     2.00   0   0   6        194      0.14903900
   2242891358   50.0    -1.00    -1.00     1.00     2.00   0   0   6        161      0.13038300
   3512659077   50.0    -1.00    -1.00     1.00     2.00   0   0   6        192      0.14346200
   3777299211   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.15159800
   3460738333   50.0    -1.00    -1.00     1.00     2.00   0   0   6        162      0.12680500
   3732782479   50.0    -1.00    -1.00     1.00     2.00   0   0   6        151      0.14787500
   3170645769   50.0    -1.00    -1.00     1.00     2.00   0   0   6        150      0.13773000
   3399021099   50.0    -1.00    -1.00     1.00     2.00   0   0   6        161      0.14083300
   3027415644   50.0    -1.00    -1.00     1.00     2.00   0   0   6        175      0.18403100
   2614728120   50.0    -1.00    -1.00     1.00     2.00   0   0   6        162      0.12830100
   2392909792   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.15972700
   3546375243   50.0    -1.00    -1.00     1.00     2.00   0   0   6        150      0.13172500
   2839215139   50.0    -1.00    -1.00     1.00     2.00   0   0   6        171      0.14477700
   2346149121   50.0    -1.00    -1.00     1.00     2.00   0   0   6        187      0.14115800
   2636116312   50.0    -1.00    -1.00     1.00     2.00   0   0   6        175      0.14398100
   2587634102   50.0    -1.00    -1.00     1.00     2.00   0   0   6        161      0.15531500
   3025004465   50.0    -1.00    -1.00     1.00     2.00   0   0   6        186      0.16715100
   2792274864   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.14871100
   3128252669   50.0    -1.00    -1.00     1.00     2.00   0   0   6        191      0.15703000
   3187735849   50.0    -1.00    -1.00     1.00     2.00   0   0   6        163      0.13589500
   2545232242   50.0    -1.00    -1.00     1.00     2.00   0   0   6        165      0.13644600
   3264865743   50.0    -1.00    -1.00     1.00     2.00   0   0   6        160      0.14002500
   2019690344   50.0    -1.00    -1.00     1.00     2.00   0   0   6        150      0.13086800
   3100702743   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.13770000
   3011294212   50.0    -1.00    -1.00     1.00     2.00   0   0   6        165      0.13032100
   3040452184   50.0    -1.00    -1.00     1.00     2.00   0   0   6        178      0.13832600
   1935889637   50.0    -1.00    -1.00     1.00     2.00   0   0   6        191      0.15100800
   2381690807   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.14627500
   3778168858   50.0    -1.00    -1.00     1.00     2.00   0   0   6        163      0.13130100
   3599274834   50.0    -1.00    -1.00     1.00     2.00   0   0   6        172      0.14046300
   2253952901   50.0    -1.00    -1.00     1.00     2.00   0   0   6        191      0.13716600
   3196073678   50.0    -1.00    -1.00     1.00     2.00   0   0   6        165      0.15050800
   1881573382   50.0    -1.00    -1.00     1.00     2.00   0   0   6        171      0.13251800
   2824694754   50.0    -1.00    -1.00     1.00     2.00   0   0   6        194      0.15057100
   2725760409   50.0    -1.00    -1.00     1.00     2.00   0   0   6        187      0.15602300
   3816954954   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.12613400
   2075691302   50.0    -1.00    -1.00     1.00     2.00   0   0   6        178      0.15674700
   2269323316   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13747000
   2514266671   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.14721200
   2049479567   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13415100
   2606378540   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13150400
   2815765581   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.13431200
   2625064422   50.0    -1.00    -1.00     1.00     2.00   0   0   6        191      0.13309000
   1778693958   50.0    -1.00    -1.00     1.00     2.00   0   0   6        175      0.13952100
   2089111180   50.0    -1.00    -1.00     1.00     2.00   0   0   6        178      0.14376700
   1865190648   50.0    -1.00    -1.00     1.00     2.00   0   0   6        178      0.14625500
   2098403962   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.14639500
