         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   1672000190   50.0    -1.00    -1.00     1.00     2.00   0   0  35       7319      0.24218100
   2747097159   50.0    -1.00    -1.00     1.00     2.00   0   0  28       6724      0.23209600
   2312706813   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       7564      0.24249000
   2146196522   50.0    -1.00    -1.00     1.00     2.00   0   0  28       7406      0.23978700
   2286002508   50.0    -1.00    -1.00     1.00     2.00   0   0  28       4978      0.20975000
   2926925650   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9535      0.28695900
   2151255600   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8772      0.24166000
   2962766047   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      13122      0.35697500
   2290693840   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      11318      0.34163600
   3514117934   50.0    -1.00    -1.00     1.00     2.00   0   0  28       6038      0.21691400
   3416438831   50.0    -1.00    -1.00     1.00     2.00   0   0  28       8943      0.32695100
   2240251248   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8151      0.32163300
   2872635016   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      10522      0.35517900
   2289717109   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6070      0.21163000
   3362741890   50.0    -1.00    -1.00     1.00     2.00   0   0  26       7817      0.24556500
   2754740486   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8568      0.28552500
   3098650841   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      11142      0.37475000
   2208977368   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      11557      0.34396200
   1717802248   50.0    -1.00    -1.00     1.00     2.00   0   0  26       3650      0.14641500
   3392884559   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       3404      0.14567400
   2171264679   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      14361      0.39507100
   3246113628   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9941      0.30855500
   2467811041   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6622      0.21709600
   2223975968   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8551      0.30391100
   2763406350   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      10277      0.31364100
   2993274970   50.0    -1.00    -1.00     1.00     2.00   0   0  24       4727      0.18435900
   3601627186   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6610      0.24163700
   3077509147   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6064      0.20636800
   2140301835   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8312      0.26394600
   2273255308   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       7845      0.28493300
