Seed	Temp	SE_cost	RM_cost	R_cost	RR_cost	SE	RM	R	N_states	Time
1672000190	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	35.0	7319	0.242181
2747097159	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	28.0	6724	0.232096
2146196522	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	28.0	7406	0.239787
2286002508	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	28.0	4978	0.20975
3514117934	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	28.0	6038	0.216914
3416438831	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	28.0	8943	0.326951
3362741890	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	26.0	7817	0.245565
1717802248	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	26.0	3650	0.146415
2993274970	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	24.0	4727	0.184359
2740728037	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	24.0	7136	0.247837
2682886733	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	24.0	5863	0.193173
3406574120	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	24.0	5018	0.204103
2868016035	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	23.0	5258	0.190558
2363911941	50.0	1.9	1.91	1.0	2.0	1.0	0.0	22.0	30518	2.102503
2511141460	50.0	1.9	1.91	1.0	2.0	1.0	1.0	20.0	31326	2.471972
2794961939	50.0	1.9	1.91	1.0	2.0	1.0	1.0	21.0	32512	2.478739
2906952592	50.0	1.9	1.91	1.0	2.0	1.0	1.0	19.0	34413	2.716093
3005264792	50.0	1.9	1.91	1.0	2.0	1.0	1.0	20.0	30069	1.019906
2983030876	50.0	1.9	1.91	1.0	2.0	0.0	1.0	21.0	29755	1.022434
3076760210	50.0	1.9	1.91	1.0	2.0	1.0	3.0	18.0	33012	1.05963
2406633144	50.0	1.9	1.91	1.0	2.0	1.0	1.0	20.0	31882	1.077875
2507852002	50.0	1.9	1.91	1.0	2.0	1.0	2.0	18.0	30350	1.003117
1966118441	50.0	1.8	1.81	1.0	2.0	1.0	0.0	22.0	31313	1.040901
2745961641	50.0	1.8	1.81	1.0	2.0	1.0	0.0	22.0	29396	0.953181
2624932489	50.0	1.8	1.81	1.0	2.0	1.0	1.0	20.0	25831	0.863764
3771155785	50.0	1.8	1.81	1.0	2.0	1.0	0.0	21.0	32588	1.10036
1878311384	50.0	1.8	1.81	1.0	2.0	1.0	1.0	20.0	29446	0.987102
3790804366	50.0	1.8	1.81	1.0	2.0	1.0	0.0	21.0	29892	1.01404
3729128328	50.0	1.8	1.81	1.0	2.0	1.0	1.0	20.0	33047	1.124144
