         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   3566720992   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11911900
   1910524464   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11960000
   3493365680   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11512300
   3301400484   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11432800
   2967816655   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12056700
   2011586044   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11571300
   2035811082   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11753300
   1916748314   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11459200
   3784509278   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11909500
   2905029361   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11544200
   2576024719   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.10857800
   2371572080   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.13226700
   1871147989   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11561400
   3713041868   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12489100
   3471024676   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11818600
   1966884312   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12696500
   3044574162   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12251600
   2258017906   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12758000
   3176164114   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.14914700
   2280811294   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.13313900
   3746733265   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12782700
   2106510172   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11503000
   2359829562   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11199100
   2550864510   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11700400
   2797441101   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12467800
   2180509795   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11920700
   3361098134   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11905800
   2830375349   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11170200
   3244605026   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11103400
   2028203867   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11342100
   3223273225   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11292900
   3354247487   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11851300
   2895343245   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12768000
   3096017923   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11303600
   2918026905   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11108100
   3557697869   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11555700
   3707063605   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11518000
   1789547580   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11496100
   1832963027   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12181700
   2957675505   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11357000
   3176173265   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11340100
   2477164993   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11864600
   3108912503   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11450900
   2168085116   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11390800
   2436477221   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11432100
   2486999642   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11420800
   2860198147   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11537900
   2802132876   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12147500
   3503422130   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12773700
   2870485750   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.13102200
   2738250749   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12050300
   2757094136   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11803900
   1899692229   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12944300
   3230115373   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12199000
   2022389927   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12467800
   2331114535   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12041900
   2207420517   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11881400
   2564248840   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11369200
   3347322277   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11379900
   3395726994   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11128700
