Variant,Seed,Temp,SE_cost,RM_cost,R_cost,RR_cost,SE,RM,R,N_states,Time
delta,2452455901,50,-1,-1,1,2,0,0,37,19421,1.261273
delta,3243555361,50,1.1,1.11,1,2,2,9,26,55866,3.388541
delta,1681587696,50,1,1.01,1,2,8,15,14,63334,4.169815
omicron,3771155785,50,1.8,1.81,1,2,1,0,21,32588,2.485996
omicron,3076760210,50,1.9,1.91,1,2,1,3,18,33012,2.45136
wuhan,3106335862,50,1.9,1.91,1,2,1,0,3,292,0.12152
wuhan,2341003959,50,1,1.01,1,2,2,1,1,292,0.120231
mixed,2383612134,50,1.9,1.91,1,2,0,0,6,707,0.247135
mixed,3715572605,50,1.9,1.91,1,2,0,1,4,715,0.258489
mixed,2020351605,30,1.1,1.11,1,2,0,2,3,1167,0.200237
